;Data;Cenario;Delft3D;Model A;Model B
3;01/01/2012;A25;NA;0,0414993;0,08955129
8;02/01/2012;A25;NA;0,041779205;0,089721178
13;03/01/2012;A25;NA;0,041781565;0,089838323
18;04/01/2012;A25;NA;0,042168837;0,0901454
23;05/01/2012;A25;NA;0,042229554;0,090261817
28;06/01/2012;A25;NA;0,042315221;0,090495035
33;07/01/2012;A25;NA;0,04231186;0,090570412
38;08/01/2012;A25;NA;0,042512388;0,090786882
43;09/01/2012;A25;NA;0,04273925;0,091041653
48;10/01/2012;A25;NA;0,042555237;0,091067438
53;11/01/2012;A25;NA;0,042601947;0,091125842
58;12/01/2012;A25;NA;0,04248745;0,091179058
63;13/01/2012;A25;NA;0,043199373;0,09160456
68;14/01/2012;A25;NA;0,043559172;0,091919893
73;15/01/2012;A25;NA;0,043439084;0,091977615
78;16/01/2012;A25;NA;0,043817897;0,092269324
83;17/01/2012;A25;NA;0,043875093;0,092339769
88;18/01/2012;A25;NA;0,043471296;0,092185044
93;19/01/2012;A25;NA;0,043428929;0,092124001
98;20/01/2012;A25;NA;0,043529332;0,092148466
103;21/01/2012;A25;NA;0,043911109;0,092334855
108;22/01/2012;A25;NA;0,04371716;0,092318044
113;23/01/2012;A25;NA;0,04330168;0,092191248
118;24/01/2012;A25;NA;0,044494983;0,092788352
123;25/01/2012;A25;NA;0,044499116;0,092871176
128;26/01/2012;A25;NA;0,044582581;0,093001724
133;27/01/2012;A25;NA;0,044778108;0,093204617
138;28/01/2012;A25;NA;0,044801843;0,093375754
143;29/01/2012;A25;NA;0,044900079;0,093620739
148;30/01/2012;A25;NA;0,045574344;0,09419121
153;31/01/2012;A25;NA;0,046603745;0,095007457
158;01/02/2012;A25;NA;0,047456297;0,095850212
163;02/02/2012;A25;NA;0,047260753;0,096211089
168;03/02/2012;A25;NA;0,046972558;0,096542672
173;04/02/2012;A25;NA;0,046668077;0,096954376
178;05/02/2012;A25;NA;0,046536239;0,097399829
183;06/02/2012;A25;NA;0,046528646;0,097942634
188;07/02/2012;A25;NA;0,046447674;0,098413131
193;08/02/2012;A25;NA;0,046365793;0,098862057
198;09/02/2012;A25;NA;0,046227006;0,099274283
203;10/02/2012;A25;NA;0,046274503;0,099691677
208;11/02/2012;A25;NA;0,046346186;0,100123733
213;12/02/2012;A25;NA;0,046088595;0,100347476
218;13/02/2012;A25;NA;0,045678867;0,100883131
223;14/02/2012;A25;NA;0,045329275;0,10154708
228;15/02/2012;A25;NA;0,045073425;0,102165395
233;16/02/2012;A25;NA;0,044662142;0,102686091
238;17/02/2012;A25;NA;0,044490253;0,103313537
243;18/02/2012;A25;NA;0,044368611;0,104002231
248;19/02/2012;A25;NA;0,044531793;0,104808114
253;20/02/2012;A25;NA;0,044527388;0,105561707
258;21/02/2012;A25;NA;0,046034294;0,107095815
263;22/02/2012;A25;NA;0,045987441;0,107900098
268;23/02/2012;A25;NA;0,045878827;0,108553354
273;24/02/2012;A25;NA;0,045547311;0,10904903
278;25/02/2012;A25;NA;0,045610292;0,109703599
283;26/02/2012;A25;NA;0,046530406;0,110796692
288;27/02/2012;A25;NA;0,046374842;0,111435836
293;28/02/2012;A25;NA;0,046273125;0,111998903
298;29/02/2012;A25;NA;0,046220064;0,112530517
303;01/03/2012;A25;NA;0,04688846;0,113409606
308;02/03/2012;A25;NA;0,047126289;0,114207718
313;03/03/2012;A25;NA;0,047459485;0,115036219
318;04/03/2012;A25;NA;0,047665079;0,115787721
323;05/03/2012;A25;NA;0,047788995;0,116592078
328;06/03/2012;A25;NA;0,047715265;0,117309295
333;07/03/2012;A25;NA;0,047585843;0,117632252
338;08/03/2012;A25;NA;0,047610694;0,118322747
343;09/03/2012;A25;NA;0,047760644;0,119119905
348;10/03/2012;A25;NA;0,04783828;0,119842086
353;11/03/2012;A25;NA;0,047770043;0,120369066
358;12/03/2012;A25;NA;0,047802387;0,120270752
363;13/03/2012;A25;NA;0,047627941;0,119998899
368;14/03/2012;A25;NA;0,047560405;0,119853023
373;15/03/2012;A25;NA;0,047553126;0,119737988
378;16/03/2012;A25;NA;0,047264898;0,119408163
383;17/03/2012;A25;NA;0,047029464;0,119182431
388;18/03/2012;A25;NA;0,047288933;0,119107897
393;19/03/2012;A25;NA;0,047074206;0,118834013
398;20/03/2012;A25;NA;0,046972677;0,118610677
403;21/03/2012;A25;NA;0,046998969;0,118451135
408;22/03/2012;A25;NA;0,046775918;0,118243392
413;23/03/2012;A25;NA;0,046480895;0,117914665
418;24/03/2012;A25;NA;0,046550948;0,117815413
423;25/03/2012;A25;NA;0,046394694;0,117613318
428;26/03/2012;A25;NA;0,046245029;0,117409773
433;27/03/2012;A25;NA;0,046112174;0,117210234
438;28/03/2012;A25;NA;0,045910099;0,116973876
443;29/03/2012;A25;NA;0,04585315;0,116801457
448;30/03/2012;A25;NA;0,045750888;0,116591153
453;31/03/2012;A25;NA;0,045689687;0,116476043
458;01/04/2012;A25;NA;0,04552027;0,116307386
463;02/04/2012;A25;NA;0,045395436;0,116064532
468;03/04/2012;A25;NA;0,045383106;0,1159605
473;04/04/2012;A25;NA;0,045611563;0,115890955
478;05/04/2012;A25;NA;0,045646142;0,115816433
483;06/04/2012;A25;NA;0,045584419;0,11568295
488;07/04/2012;A25;NA;0,045433645;0,11552952
493;08/04/2012;A25;NA;0,045417958;0,115355361
498;09/04/2012;A25;NA;0,045383587;0,115247682
503;10/04/2012;A25;NA;0,045591055;0,115262206
508;11/04/2012;A25;NA;0,045439834;0,115024686
513;12/04/2012;A25;NA;0,045569233;0,115009902
518;13/04/2012;A25;NA;0,045642007;0,114999185
523;14/04/2012;A25;NA;0,045478248;0,114771171
528;15/04/2012;A25;NA;0,045355753;0,11464548
533;16/04/2012;A25;NA;0,045468033;0,114550514
538;17/04/2012;A25;NA;0,04539904;0,114364223
543;18/04/2012;A25;NA;0,045391695;0,114920513
548;19/04/2012;A25;NA;0,045352116;0,115511715
553;20/04/2012;A25;NA;0,045366509;0,11600758
558;21/04/2012;A25;NA;0,045441788;0,116584276
563;22/04/2012;A25;NA;0,045640495;0,117125557
568;23/04/2012;A25;NA;0,045892625;0,117704224
573;24/04/2012;A25;NA;0,045908354;0,118154962
578;25/04/2012;A25;NA;0,046004592;0,118644785
583;26/04/2012;A25;NA;0,046227944;0,119096081
588;27/04/2012;A25;NA;0,046234246;0,119530631
593;28/04/2012;A25;NA;0,046158897;0,119828995
598;29/04/2012;A25;NA;0,04599134;0,120012705
603;30/04/2012;A25;NA;0,045803618;0,120242638
